	SM57_PROX_500MM	
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2.929688	-55.55	-137.80	0.10
5.859375	-52.97	-171.27	0.64
8.789063	-49.96	-177.36	0.85
11.718750	-43.14	154.04	0.94
14.648438	-31.16	161.04	0.95
17.578125	-30.99	159.52	1.00
20.507813	-31.05	161.27	0.98
23.437500	-25.16	155.65	0.92
26.367188	-23.01	145.93	0.93
29.296875	-19.74	138.23	0.94
32.226563	-20.65	136.25	0.97
35.156250	-19.59	133.09	0.97
38.085938	-19.06	139.53	0.99
41.015625	-19.58	139.26	0.99
43.945313	-16.87	120.44	0.97
46.875000	-15.33	110.31	0.99
49.804688	-14.54	121.10	0.99
52.734375	-15.18	125.12	0.99
55.664063	-15.56	124.20	0.99
58.593750	-12.05	120.16	0.94
61.523438	-10.34	111.42	0.99
64.453125	-9.59	116.15	1.00
67.382813	-7.04	104.66	0.98
70.312500	-6.55	98.45	1.00
73.242188	-5.86	99.27	1.00
76.171875	-5.54	94.29	1.00
79.101563	-5.82	84.41	1.00
82.031250	-5.88	82.80	1.00
84.960938	-6.44	89.19	0.99
87.890625	-7.18	91.58	0.98
90.820313	-2.55	82.84	0.94
93.750000	-0.84	74.27	0.98
96.679688	-2.08	61.54	0.99
99.609375	-3.18	60.77	1.00
102.539063	-3.94	62.61	1.00
105.468750	-4.03	66.70	1.00
108.398438	-2.69	68.00	0.97
111.328125	-1.78	61.16	0.98
114.257813	-2.41	54.60	1.00
117.187500	-2.45	55.67	1.00
120.117188	-2.18	51.26	1.00
123.046875	-2.22	51.01	1.00
125.976563	-1.93	48.79	1.00
128.906250	-2.13	44.74	1.00
131.835938	-2.66	41.85	1.00
134.765625	-2.98	41.70	1.00
137.695313	-3.13	43.78	1.00
140.625000	-2.90	45.84	1.00
143.554688	-2.43	45.31	1.00
146.484375	-2.27	45.29	1.00
149.414063	-2.16	45.95	1.00
152.343750	-1.98	47.35	1.00
155.273438	-1.33	45.61	0.99
158.203125	-1.16	40.79	0.98
161.132813	-2.34	35.21	0.99
164.062500	-2.68	34.90	0.99
166.992188	-3.06	38.18	1.00
169.921875	-2.96	40.86	1.00
172.851563	-2.24	40.96	0.99
175.781250	-1.60	35.91	0.99
178.710938	-1.48	30.26	0.99
181.640625	-1.82	25.19	1.00
184.570313	-2.20	23.91	1.00
187.500000	-2.57	24.56	1.00
190.429688	-2.75	25.99	1.00
193.359375	-2.75	28.60	0.99
196.289063	-2.91	29.72	1.00
199.218750	-2.82	29.86	1.00
202.148438	-2.46	28.20	0.99
205.078125	-1.96	23.62	0.98
208.007813	-2.03	19.76	1.00
210.937500	-2.57	18.43	0.99
213.867188	-3.23	19.15	1.00
216.796875	-3.58	20.53	1.00
219.726563	-3.69	22.31	1.00
222.656250	-3.54	24.67	1.00
225.585938	-3.22	25.71	1.00
228.515625	-2.97	25.46	0.99
231.445313	-2.92	24.03	0.99
234.375000	-3.15	23.26	0.99
237.304688	-3.41	23.98	0.99
240.234375	-3.48	25.43	1.00
243.164063	-3.43	26.84	1.00
246.093750	-3.25	28.10	0.98
249.023438	-2.94	28.50	1.00
251.953125	-2.67	28.69	1.00
254.882813	-2.46	28.07	1.00
257.812500	-2.42	26.46	0.99
260.742188	-2.61	24.95	0.99
263.671875	-2.86	23.43	0.96
266.601563	-3.10	21.76	0.90
269.531250	-3.20	20.84	0.97
272.460938	-3.26	21.19	0.99
275.390625	-3.28	22.98	1.00
278.320313	-3.28	25.40	1.00
281.250000	-3.24	27.99	1.00
284.179688	-2.96	30.35	1.00
287.109375	-2.48	31.99	1.00
290.039063	-1.89	32.29	0.99
292.968750	-1.19	31.69	0.99
295.898438	-0.57	28.35	0.97
298.828125	-0.31	24.73	0.99
301.757813	-0.28	21.82	1.00
304.687500	-0.31	19.47	1.00
307.617188	-0.41	17.23	1.00
310.546875	-0.56	15.74	1.00
313.476563	-0.64	14.88	1.00
316.406250	-0.64	14.35	1.00
319.335938	-0.66	13.61	0.99
322.265625	-0.70	12.64	1.00
325.195313	-0.70	11.73	1.00
328.125000	-0.66	10.51	1.00
331.054688	-0.63	8.87	1.00
333.984375	-0.64	7.25	0.99
336.914063	-0.70	6.35	0.99
339.843750	-0.86	5.62	0.99
342.773438	-1.13	4.53	0.99
345.703125	-1.39	3.66	0.99
348.632813	-1.70	4.06	0.99
351.562500	-1.99	4.54	0.99
354.492188	-2.26	5.56	0.99
357.421875	-2.41	6.64	0.99
360.351563	-2.47	7.67	1.00
363.281250	-2.50	8.55	0.99
366.210938	-2.55	9.12	0.99
369.140625	-2.55	9.43	0.99
372.070313	-2.56	9.08	0.99
375.000000	-2.56	8.66	1.00
377.929688	-2.59	8.42	1.00
380.859375	-2.63	8.23	1.00
383.789063	-2.68	8.29	1.00
386.718750	-2.69	8.44	0.99
389.648438	-2.68	8.45	0.99
392.578125	-2.62	8.22	0.99
395.507813	-2.56	8.04	0.98
398.437500	-2.55	8.61	0.98
401.367188	-2.54	9.34	0.99
404.296875	-2.52	9.93	0.99
407.226563	-2.55	10.30	0.99
410.156250	-2.60	10.50	0.99
413.085938	-2.62	10.86	1.00
416.015625	-2.63	11.25	1.00
418.945313	-2.62	11.58	1.00
421.875000	-2.58	11.76	1.00
424.804688	-2.51	11.89	1.00
427.734375	-2.45	11.47	1.00
430.664063	-2.47	10.73	0.99
433.593750	-2.55	9.77	0.98
436.523438	-2.67	9.60	0.99
439.453125	-2.74	10.27	0.99
442.382813	-2.68	11.02	1.00
445.312500	-2.50	11.71	0.99
448.242188	-2.31	11.85	1.00
451.171875	-2.07	11.25	0.99
454.101563	-1.92	10.80	0.99
457.031250	-1.87	10.03	0.99
459.960938	-1.90	9.42	0.99
462.890625	-1.96	8.83	1.00
465.820313	-2.03	8.41	1.00
468.750000	-2.11	8.29	1.00
471.679688	-2.19	8.39	1.00
474.609375	-2.25	8.56	1.00
477.539063	-2.27	8.73	1.00
480.468750	-2.26	8.86	1.00
483.398438	-2.24	8.90	0.99
486.328125	-2.18	8.66	0.99
489.257813	-2.16	8.09	0.99
492.187500	-2.21	7.42	0.99
495.117188	-2.23	6.77	0.97
498.046875	-2.21	6.06	0.96
500.976563	-2.20	5.21	0.96
503.906250	-2.26	5.19	0.97
506.835938	-2.44	5.45	0.98
509.765625	-2.62	5.83	0.99
512.695313	-2.78	6.16	0.98
515.625000	-2.93	6.51	0.95
518.554688	-3.05	6.91	0.93
521.484375	-3.10	7.29	0.93
524.414063	-3.14	8.10	0.98
527.343750	-3.08	9.13	0.99
530.273438	-3.03	10.17	1.00
533.203125	-3.00	10.98	1.00
536.132813	-3.00	11.66	0.99
539.062500	-2.98	12.14	0.97
541.992188	-2.93	12.42	0.96
544.921875	-2.83	12.52	0.98
547.851563	-2.74	12.37	0.95
550.781250	-2.60	11.87	0.90
553.710938	-2.45	11.57	0.96
556.640625	-2.32	10.92	0.98
559.570313	-2.21	10.30	0.99
562.500000	-2.15	9.87	0.99
565.429688	-2.12	9.69	0.99
568.359375	-2.07	9.52	0.99
571.289063	-2.02	9.19	0.99
574.218750	-1.99	8.79	0.99
577.148438	-1.96	8.35	1.00
580.078125	-1.93	7.86	0.99
583.007813	-1.90	7.22	0.99
585.937500	-1.88	6.63	1.00
588.867188	-1.87	6.07	1.00
591.796875	-1.87	5.55	0.99
594.726563	-1.88	5.12	0.99
597.656250	-1.90	4.82	0.99
600.585938	-1.95	4.48	0.99
603.515625	-2.01	4.17	0.99
606.445313	-2.07	4.14	0.99
609.375000	-2.12	4.29	0.99
612.304688	-2.15	4.56	0.99
615.234375	-2.16	4.90	1.00
618.164063	-2.17	5.21	1.00
621.093750	-2.16	5.41	1.00
624.023438	-2.15	5.42	0.99
626.953125	-2.17	5.27	0.99
629.882813	-2.20	5.13	0.98
632.812500	-2.24	5.04	0.97
635.742188	-2.27	5.11	0.96
638.671875	-2.28	5.20	0.98
641.601563	-2.27	5.38	0.99
644.531250	-2.23	5.71	0.99
647.460938	-2.18	5.92	0.99
650.390625	-2.12	6.01	1.00
653.320313	-2.09	6.07	1.00
656.250000	-2.05	6.19	1.00
659.179688	-2.03	6.39	1.00
662.109375	-1.99	6.62	1.00
665.039063	-1.94	6.89	0.99
667.968750	-1.88	7.04	1.00
670.898438	-1.82	7.09	1.00
673.828125	-1.76	7.03	1.00
676.757813	-1.72	6.93	1.00
679.687500	-1.71	6.88	1.00
682.617188	-1.72	6.84	1.00
685.546875	-1.71	6.86	1.00
688.476563	-1.70	6.87	1.00
691.406250	-1.72	6.74	0.99
694.335938	-1.74	6.75	0.99
697.265625	-1.75	6.78	1.00
700.195313	-1.77	6.87	1.00
703.125000	-1.81	6.97	1.00
706.054688	-1.87	7.09	1.00
708.984375	-1.91	7.28	0.99
711.914063	-1.96	7.48	0.99
714.843750	-1.99	7.71	0.99
717.773438	-2.01	7.97	0.98
720.703125	-2.04	8.06	0.97
723.632813	-2.06	7.96	0.96
726.562500	-2.08	7.82	0.96
729.492188	-2.10	7.73	0.98
732.421875	-2.12	7.70	0.96
735.351563	-2.14	7.60	0.97
738.281250	-2.18	7.51	0.98
741.210938	-2.23	7.30	0.98
744.140625	-2.28	7.22	0.99
747.070313	-2.35	7.17	0.98
750.000000	-2.43	7.10	0.96
752.929688	-2.47	7.07	0.94
755.859375	-2.51	7.12	0.94
758.789063	-2.56	7.23	0.95
761.718750	-2.62	7.22	0.98
764.648438	-2.64	6.90	0.98
767.578125	-2.66	6.67	0.98
770.507813	-2.68	6.40	0.99
773.437500	-2.70	6.14	0.99
776.367188	-2.72	5.99	0.99
779.296875	-2.72	6.18	0.99
782.226563	-2.72	6.37	0.99
785.156250	-2.70	6.46	0.99
788.085938	-2.67	6.33	0.96
791.015625	-2.63	6.07	0.95
793.945313	-2.60	5.74	0.98
796.875000	-2.55	5.42	0.97
799.804688	-2.48	5.01	0.94
802.734375	-2.46	4.61	0.94
805.664063	-2.43	4.24	0.90
808.593750	-2.40	3.58	0.78
811.523438	-2.37	2.71	0.91
814.453125	-2.35	2.01	0.96
817.382813	-2.29	1.39	0.98
820.312500	-2.23	0.93	0.97
823.242188	-2.17	0.68	0.98
826.171875	-2.10	0.51	0.99
829.101563	-2.02	0.21	0.98
832.031250	-1.95	-0.29	0.98
834.960938	-1.89	-0.79	0.98
837.890625	-1.85	-1.20	0.96
